"id";"station_id";"date";"mw_art";"uv_index";"unit";"station_name";"betreiber";"betreiber_id";"tagesgang_url"
"33511";"HY";"2020-03-24T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33519";"HY";"2020-03-25T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33559";"HY";"2020-03-26T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33595";"HY";"2020-03-27T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33628";"HY";"2020-03-28T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33661";"HY";"2020-03-29T20:00:00Z";"UVI";"2";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33688";"HY";"2020-03-30T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33717";"HY";"2020-03-31T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33770";"HY";"2020-04-01T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33807";"HY";"2020-04-02T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
"33826";"HY";"2020-04-03T20:00:00Z";"UVI";"3";;"Norderney";"Gewerbeaufsichtsamt Hildesheim";"GAA-Hi";"https://uvi.bfs.de/Tagesgrafiken/Legende/indexHY.html"
